Score,Evaluation
4.8,超级方便，地铁浦东大道站1出口出来对面就是，不用走很多路，穿很小的马路。只是周边最近在施工，看起来比较简陋。酒店还是很不错的。床也很舒服。整个都比较安静，私密。就是早餐自助餐稍微简单了点，没什么特别的，寿司包饭很不好吃，鸡蛋饼很赞。儿童半价八十九也略贵了些，这个价格一般都可以享用晚餐了。毕竟早饭还是单调的，有点感觉不值。虽然有双早，也不能撇下一个出去吃
4.3,先说好的：酒店在4号地铁旁边很方便，酒店设施也很新，房间蛮大，拉开窗帘就看见黄浦江。晚上开门回来空调已经预先打开了，一开门就很凉快，这点很不错。再说不足的：大堂服务员不够热情没笑脸，还不没有清洁阿姨的笑容多！前台办理入住和退房速度很慢，感觉业务比较生疏，我办好入住拿房卡居然开不了房，还是清洁阿姨帮忙开的，后来出去到前台重新弄了下，等晚上回来居然还打不开只好下楼又重新刷下才打开门！希望下次有所改进。
4.3,酒店4号线出来就是，交通很方便，离陆家嘴，八佰伴也蛮近。最近在修路有点乱，楼层高靠黄埔江边蛮不错，房间装修还算是蛮新的，打扫也蛮干净，就是附近没什么吃饭的，下次可以再来
4.3,位置位于浦东经济区的旁边，交通还是很便利的，如果坐地铁就在1号出口对面。酒店整体装修还是比较符合五星标准，我定了3间房，不得不说我跟我朋友对这家酒店的整体服务不是很满意，根本达不到五星标准： 我们是晚上快8点到酒店的，那边正好修路。刚开上酒店入口斜坡发现有些三角路障，保安站在旁边，没有任何标识，我们还以为是没车位，还想开上去点问下保安，结果保安居然理都不理转过了身 酒店的接待等服务员没啥笑脸。早上去餐厅吃早餐有个区域好像是专门给行政楼层的，again没有标识，我跟我家小孩刚转过去，一个服务员拦住我们，面无表情要求我们不能坐在这儿......说话语言懂吗？对不起或者请都不会说吗？那种语气说出来感觉浑身不得劲，感觉有点看不起我们定了标间的，人家是专门给行政服务的。 另外儿子要求吃水煮蛋，我去拿看到正好在煮，我向厨师要求拿2只，他很不耐烦地说：这是别人定的。我说：那能帮我煮2只吗？他居然反复问我：你要吗？2只？......我是没说清楚还是这个要求给您造成了麻烦？去拿鸡蛋正好有个老外要求煮蛋液，那个服务态度啊，简直天差地别了。 最后老公说了以后要定酒店一定要定五星连锁，宁可贵点，我也愿意买那个服务。
4.5,酒店位于浦东，在地铁站出口对面，交通十分方便。周围居民区，风景自然不比景点，不过胜在用餐方便，到达第一天就去了早餐店吃生煎和小笼，很好吃。酒店的早餐对比五星酒店来说乏善可陈，148一人实在不值。房间还不错，淋浴间地板比较差，其他还不错，尤其我们提前到10：40就给我办入住，很棒的服务。总之，很满意的一次住宿。
4.8,在携程预付担保几次最后都没房间，提价才有房间，携程现在可恶了。最后定了裕景，很好，就在地铁口出行非常方便，遗憾的是酒店前面修路，酒店泳池没有开，不过我们住四晚前台将我们房型连升三级至套房，套房内的大浴缸足以让小孩满足了，非常谢谢前台。5楼御庭的菜也不错。
4.5,酒店位子不错， 离世博园和陆家嘴中心都蛮近的，高级大床房也有个大飘窗，可以看到江景，小孩子很兴奋，服务态度都很好， 也很安静， 酒店大致看上去还是蛮干净，但是角角落落还是有明显的灰尘，卫生间干湿分离很好， 但是马桶边没有扔纸巾的垃圾桶，这点不太好，要的婴儿床明显使用很久的痕迹， 有些螺丝已经坏了，不太安全，有待改善。自助餐还是很丰盛的。
4.8,各项其实都不错，入住时正在修地铁，当时怕吵还想退住，前台的服务生给我安排了最高楼层，一点也不吵，风景还很好。早餐很丰富，如果不急的话可以慢慢享用。
4.5,"被免M升到高房,性r比高。酒店前台人T和餐d服丈不光f英Z,f日Z,真正的能面Σ煌地方的客人。房g的落地玻璃人可以h眺家嘴金融地段,可以看到γ嫫治鞯泥]a^,那是虹口^吧?！ l生g淋浴沉浴都有,超大的。 酒店上在修地F,h境有一cc影。另外前面就只有渺渺免M停位,爆M了就只能到地下室的收M炝恕"
5,地铁4号线出站即到，非常方便，酒店设施新，服务周到，房间可以看到黄浦江，住的非常舒服，五星的服务，实惠的价格，早饭也非常丰富，什么风格的早餐都有，有个鸡蛋卷很好吃，携程的服务也值得信赖，让我们度过了一个非常愉快的国庆假期
4.3,附近好多地方在施工，有点遗憾，附近的4号线地铁很方便，房间很舒适。就是没有无线网，值得一提的是早餐，我孩子五周岁，所以免费，食物应有尽有，吃的很丰盛，环境很好，因为外滩回来晚了，所以没带孩子去酒店那边游泳，可惜了，下次应该还会选择，下次会选择观景更好的房间
5,酒店位置还不错，虽然门口在修路，可能住的楼层比较高，一点都不吵。从房间还可以看到黄浦江，晚上景色不错。设施服务都具备五星标准，总得来说比较满意！
4.8,以相当划算的价格于清明连假入住行政房一晚，这类商务酒店大多是工作日比假日贵的。商务楼层在38F以上，可享用行政酒廊K在38F办理入住退房手续。 1.房间：虽然行政房不大，但非常喜欢房间整体的通透感，包括大片落地窗，可欣赏到陆家嘴及S浦江风景、浴室的L型透明玻璃、房间内到处都有的大片镜子。设备稍微有点旧了，不过基本都是国际大牌，也有ipod音响，床很好睡，小缺点就是吹风机松了无法固定在插座上，熨衣板立不g。 2.餐饮：行政酒廊餐饮酒水挺丰富的，有Evian 、Perrier、现榨果汁，不喝软饮酒类就没注意有那些了。开放时间都有小点心和水果，中午和晚上happy hour有提供咸点，我们简单吃吃也饱了。早餐选在3F自助餐体验一下，种类是真的很丰富，中西日式都有，不过下回应该会选择在行政酒廊吃早饭比较精致。??程预定有送大堂吧的双人下午茶，不过不是兑换券图片上的英式下午茶，而是善自选蛋糕和茶或咖啡，口味还不错，bar的夥蘸芎谩 3.服务：领取下午茶券时发生小状况，感觉员工之间沟通和工作交接上可再加强，但服务态度还是很好的，也顺利解决问题。顺带一提在大堂吧点了大吉岭红茶，但来的居然是伯爵茶，我不太喜欢伯爵茶，但双人份超大一壶，本著不浪费的习惯就不Q了，希望能更注意细节。 4.酒店整体装修和设备是不错的，交通也方便，门口修地铁造成一些噪音，周围环境显得比较乱，但酒店炔棵挥杏跋臁Ｌ乇鹣不club lounge的夥眨待在lounge里面很舒服悠闲，也去使用了一下健身房，度过很愉快的假期，下次有机会还会再来，也会推荐给亲友。
5,"前台很nice,提的要求都表示会尽量满足，安排的房间在30楼，夜晚窗外灯光汇集，宛若繁星，孩子很喜欢！大上海的夜景真的一点都不比香港差唉，棒棒哒~从东方明珠回来，坐81路两三站而已，下车就是酒店。去科技馆坐地铁两站路，so easy!酒店不错，景点真的很坑很so so..东方明珠人超级多，科技馆比较老旧。倒是酒店的按摩泳池给孩子带来不少乐趣，弥补了景点的不足！最后两点不足是1衣橱的门关不严，从门缝里透出一丝灯光，让我这个有强迫症的不是很舒服。我是3004房间。2空调略吵。"
4.3,酒店的地理位置不错，距离东方明珠和第一八佰伴都只有2公里的距离，门口就是4号线浦东大道站，出行便利。近期泳池维护不开放，有些小遗憾。房间比较大，设施齐全，礼宾和客房的服务人员态度都很热情，前台效率较差，我入住的时候比较幸运，是负责兑换外币的美女接待的，服务非常周到和热情，其他几个柜台的效率就差了点。早餐的品种比较丰富，但由于暑期住客爆棚，找位非常困难，清洁速度跟不上，态度也比冷淡，全场无笑容，看到领班等所有人都在忙碌，但明显缺乏五星级酒店应用的管理水准，有待提高。总体感觉不错，还会考虑入住。
4.3,酒店还是不错的，房间不是很大，不过附近在修地铁比较脏，交通比较方便，地铁浦东大道站出来就是，就是早餐确实一般不是很好吃，服务一般般吧。
4,交通还可以 出门就是四号线、房间异味略重，进门感觉很久没人住的那种味道，而且房间太小啦 空调开着也没什么感觉！都不知道到底是制冷还是制热、有待改善！早餐一般吧……
4.8,到店免费升了套房，真是在4号线地铁站出口处对面。前台工作人员好像挺忙的，礼貌笑迎没有。房间很满意，浴缸超大，视野好，退房很快，属于免查房类的。早餐东西不多。
4.8,第一次入住这家酒店，网上查了很多觉得这家性价比很高就来入住了，前台服务很好 给我安排了一间31层视野非常好的房间，正对陆家嘴～ 床也很舒服 干净整洁～唯一的建议就是希望早餐可以再丰盛一些～中规中矩的五星级
4.8,原本定的豪华房，好像被升级到了28楼的行政房，从窗外可以看到黄浦江和杨浦大桥，感觉不错。沐浴用品是澳洲品牌appelles授权的，挺好用。早餐和自助晚餐也ok
4,先说一点不好的：房间卫生打扫的不够好，灰尘蛮多的。房间设施有点老旧。下面都是好的：酒店交通还算便利，门口就是地铁站。如果是自驾出行更加适合，有免费停车。服务还可以的，叫了加被子，送来同时态度也很好。早餐品种多，味道中等吧。建议住30层以上朝南的房间，正对陆家嘴三大神器，夜景漂亮，比江景好。
4.8,1，硬件都很好 干净 舒适 2，办入住的时候，前台服务人员都半死不活的样子，也不知道怎么那么不高兴！ 3，隔音不好，隔壁看电视很大声，夜里一两点都还听得到。 4，隔壁只有一家很小的便利店，出了酒店大门往右再往右。 5，楼下修地铁，路况很不好。但离地铁非常近。浦东大道站一出来就是。
4.5,姆块g能看外面夜景，挺美的，的豪A房，免M升裕景房，很高d，??。就是房g不怎N隔音，老隔壁唱歌f的音
5,4号地铁浦东大道1号出口处边，虽然门口修建地铁但公交出行不受影响，房间要求安排在离工地稍远的地方，入住后发现可以直接远观黄浦江。自助早餐品种还算丰富。
4.3,酒店的位置很好，黎地F站很近，但最近在施工^榭上В酒店窗敉出去就是家嘴的景色，酒店炔康难b修高n，有泡澡的大浴缸，早餐的也是很棒，推]@家酒c
5,这酒店真心不错，前台的人还特意给我一个看外景的房间。而且服务态度很棒，早餐也不错，离陆家嘴很近。有机会还要选这间酒店。最重要交通很方便，离地铁站很近。
5,这次入住总体满意。酒店对面就是地铁站，出行很方便，上海的交通堵塞比较多，有时候还是地铁出行更快。酒店电梯上楼要刷卡才能到达想要去的楼层，这也是我选这家酒店的原因之一，比较安全。另外，酒店的景观还是不错的，因为楼层高，晚上看上海很繁华。客房服务也很好，第一天入住晚上孩子把床单弄脏了，第二天叫客房服务换床单，也笑着爽快答应了。房间的洗簌用品每天也会换新的。效率很高，早上起来出去吃个早饭回来，发现床已经铺好了。感觉不错！下次还会选择入住。
4.3,选了正对陆家嘴的房 风景不错 酒店干净服务周到 自助早餐还行有蛮多外国人 但是房卡超级不灵 不知道什么原因 反正很难刷 。 从酒店打计程车16块到东方明珠 对面就是地铁四号线 交通蛮方便的 酒店泳池干净 小池子是温热水 不用带泳帽就可以进 大池子冷水 总的来说 还是中规中矩的五星
4.8,这是我第二次选择裕景了。 可能是之前沟通不到位，酒店留的是一间双床房。没办法，只好支付每日200的差价升级到裕景房。升级房型时，我明确提出了正对陆家嘴的要求，而事实上我的房间确是侧对陆家嘴(裕景房3面玻璃落地窗)，这是有点小遗憾。 主要的体验感受如下 1.酒店门口在修路，驾车的朋友是有些不方便。不过走路的客人完全无碍，出了大堂过个街就是地铁站了。 2.游泳池加分～值得体验，但健身房器械太少...有待加强。 3.客房无论内部装修还是面积大小都很满意。 4.早餐种类齐全，但口味一般，没有亮点。
4.3,特地提前预定要的面对江景房间，景色不错、苦在第二天雾霾严重，云里雾里～房间不算太大，但住起来还算温馨，美中不足，早餐券就一张，两个人吃也不上是不吃也不是，所以就没吃，浪费了
5,酒店地理位置很好，就在4号线浦东大道站1号出口过马路就是。酒店的硬件不错，卫生间超大，有淋浴也有浴缸，卫生间还可以边泡澡边看电视。卫生也还可以。但房间的地毯有点脏了，早餐还过得去。
5,酒店设施不错，高层景观也很好，面向陆家嘴，夜景很美，出行也方便，地铁、出租、公交都有，因睡懒觉，没吃早饭，不知道早餐情况如何。性价比不错，本来订的是高级房，办理入住时免费升级，服务态度也不错。下次还会入住。
5,酒店就在地铁出口，交通便利。酒店服务态度很好，前台托管行李很便利。房间很大很不错，有冰箱，可以看夜景和电视的大浴缸很赞。早餐自助种类很丰富，味道相当不错。
4,酒店近4好线地铁口，出行方便，酒店服务一般，进酒店没有主动帮你提行李店人，出门让帮忙叫车还可以。37层以后的夜景没什么好看的，据说只有38层以上可以看到东方明珠。网络免费的太差。早餐我没去吃过，据说很差，同行的每次就是吃碗粥就好了。
4,夜景还是可以的，门口就是4号线，建议大家坐地铁，出租车太黑了，从东方明珠到酒店开价70，简直是穷疯了，地铁才一站路；前台人员太少，两个柜台根本来不及办理，排长队，退房等了半小时。
4,出门就是地铁4号线，位置还是不错的，打车到陆家嘴也就是起步价。但是我下午三点到居然房间还没有收拾好需要再等一小时。果断投诉升级房间，我觉得差点意思，自己的问题居然要客人等，虽然升级房间但还是不满意。还有游泳池不能用，没有提前说，只是在前台有一个小纸条，特别不好，出门不能给叫出租车，要自己滴滴打车！！！上海的酒店都这样嘛，五星酒店都这样吗？？？实在是失望！！！在booking上预订写着有婴儿床，但是到了一问也没有啊！哎……
5,酒店很赞，出行及周边生活都很方便，服务也一流，景观也很赞
5,酒店位置很好，价格实惠，服务人员热情，早餐丰盛，及其不错的体验感受！下次还会选择入住！
5,酒店很好很舒适，早餐也不错！
5,环境还是不错的.设施也可以.床有点小一米二的！对于周六的价格是中等偏上
5,从入住说起，前台非常不错，我要求正对陆家嘴，可能给我们升房了，房间和浴缸正对上海滩三大神器，可以看到黄浦江。入住后wifi不好，打电话给前台立马派人来查看，下午出门一会，房间就重新打扫了，喝掉的水也给我们补好了，非常好。晚上睡觉比较安静，早上门口还有道歉纸条，说由于摁了请勿打扰，未能及时打扫房间，很贴心，早餐非常不错，比在锦江饭店和国信紫金山吃过的都好，总之非常不错的一家酒店，推荐
4.5,房间一流，装潢高大上，浴室浴缸让人惊艳，梳洗用品质量都不错，窗外景观好，位置也不错，到江边散步很近 房间窗户不能开，有点闷。早餐就真的不怎么乐，第一次遇到五星酒店早餐却是商务等级，连座位摆放也是商务的 还是待在房间舒服
4.5,房间小了点，房间还有灯泡坏了的，卫生间马桶下水功能很不好，淋浴房地上黑斑点很多，让人看上去就感觉不卫生，夜景还是可以的，自助早餐内容一般！原本周边在建地铁，估计是国庆期间也没有感觉到吵闹，出行也方便！
4.5,去的时候泳池重修（下订单时没有相关提示），儿子最爱没有了，有点小失望，因为没满12岁，健身房也不能使用，就更失望了，还好客房服务让我们整体满意，附近便利的交通也非常便利。
4.5,多次入住，办理过会员卡的，位置不错，床比较舒适，淋浴热水很好，高楼层视觉好。也多次在5楼中餐厅消费，菜品不好，从未改变过，如果确实很好倒也说得过去，关键不好。主打粤菜，没有粤菜的鲜香爽滑的精髓，上菜速度慢，等啊等啊好遥远。包括一楼的东南亚简餐厅，给个停车券很抠，谁没事来有停车呢，消费者确实在这边消费理应给足停车券，这一点上很少见到酒店人性化的温馨，冰冷的腔调。
4,不知什么原因公司旁边的海神诺夫特这几天的房价贵得离谱，就为客人定了稍远一些的裕景。因为客人需要续住一晚，我们希望为客人安排妥当，我们公司来付款，所以电话打到酒店确认是否可以我们网上预定并付款同一房型，客房预订部的一位男性职员接的电话，半小时后都没有搞定，只是让他确认房间而已，效率差，沟通理解力差！后来一位金小姐与我联系，思路清楚，态度和蔼，服务到位，确认后还再次来电告知我，表扬一记！
4.8,因为基本在浦东活动，所以又续住两日。门口就是地铁4号线，交通便利。客房服务员态度很好，每天都会询问是否需要洗衣和开夜床。大堂的态度一般。早餐还好。遗憾的是泳池维修没法游泳。
4.8,酒店风景很好哦，住的27楼早上起来看着黄埔江的景色心情超爽哦！早餐还算可以，楼下中餐厅的菜也很不错。交通也很便利4号线浦东大道1号出口出来过街就是。
4.5,酒店入住服务很好，主动询问吸烟禁烟需求。大厅服务生主动来帮拿行李，但是没有行李车，客人还得自己拿一部分。房间还不错，也很清洁。热水供应充足，洗浴时很好用。
4.5,前台服务不错。一楼的泰式火锅、四楼的瑜伽健身水疗、三楼的酒吧西餐看起来都很吸引人，可惜没时间亨受，下次来补上。最让我]想到的是当我晚上6点左右走入房间，俯瞰到黄浦江、金融城璀璨的夜景，宛如置身仙境。太惊喜了！
4.5,如果不再乎银子的多少，还是建议大家选择行政房，行政房的服务更贴心。我的这个同事每次来上海都会住裕景，因为在这里更能感受到上海的时尚气息。环保出行也方便，门口就是地铁站。如果想乘磁悬浮去浦东机场，从酒店乘出租车过去也不是很远。
4.8,环境一流，前台侯小姐很给力服务一级棒，作为星级酒店餐饮吃的卫生放心，下次继续光顾！
4.8,性价比不错，房间设施都很好，有点小但两个人住还好。出门就是地铁站，离陆家嘴商圈也比较近。整体不错吧，就是大堂服务人员态度有点稍差点。。。
4.5,除了门前的道路工程不知道什么时候完工外，服务、位置、设施、卫生都不错，1000元以下的价格，性价比很高。地铁近在咫尺，非常方便。
5,在这个地段能订到这个房价的五星酒店不容易，酒店就在地铁口，非常方便，距离东方明珠塔，海洋馆和科技馆都很近，地铁都能到达，打车的话起步价+1元的样子。酒店环境也不错，小孩子在酒店游泳也很开心。已经推荐给好几个朋友了。下次去上海我会继续选择这家酒店的。
5,酒店地理位置不错，门口就有地铁4号线入口，前台服小姐很有礼貌，因为床的问题很爽快的就帮我解决了，就是早餐6岁小孩子还要收费，有些不满！其余不错！
5,不得不评价一下，酒店设施都很好的。服务人员都特别好，还给房间做了一个升级，早餐也还不错，因为怕不好吃所以都选择最基本的餐点，没想到意外惊喜。棒
4.3,酒店其他各方面都还挺好的，就一点，下午1点半到酒店，办理了入驻，卫生没有打扫好，让我等一个小时，一个小时后卫生还没打扫好。最后等了两个小时，才拿到房间的卡。建议以后效率要改进一下。
4,桶和奶奶的房g，他f很新的酒店，房g也好，早餐不e，地c也很方便。}有一樱房g里不知哪Y跑淼难涛叮害不抽烟的爸和老人家整晚]睡^，可能是中央冷獾年PS吧。如果不抽烟的舆是要Q绦邪。不抽烟的老人家受不了@拥恼勰ィ四老第二天早上7c就起床吃早餐，然後把下午3c的wC改到12c就回香港了，回碇後和爸爸就_始喉低矗二手烟_害O深！希望酒店绦胁晃烟的印
5,为了看黄浦江夜景，订了高层酒店，江景能看，但一片繁忙，不美啊。 说说酒店吧，位于陆家嘴，楼下就是地铁四号线浦东大道站，那里不是商业区，所以不热闹，打车也不难。 酒店是老五星级酒店，设施略显陈旧，但该有的都有，房间也很大，特别是卫生间有12个平方左右，有临窗的大浴池（方形，长宽各1.5米），很适合家庭泡澡，洗个泡泡浴，这个很赞。酒店服务员不怎么主动，上海人是这样的吗？
5,性价比较高的酒店，房间干净整洁。自助餐也不错，服务也OK！很值得，唯一缺点位子比较偏僻。不过打车还是比较方便。 五星里面性价比高得酒店房间不大但风景很好！服务也不错 风景还不错，浴缸能看到陆家嘴三件套，就是楼下马路施工。 标准五星级酒店，挑不出毛病，窗外无敌江景啊，没事坐在窗前数江上的轮船，时间会过得很快。开放式的浴盆也好大，泡澡超过瘾啊。就是楼下修路，出行不方便。
5,位置不错，距离东方明珠、世贸都很近，安排的房间能看到黄浦江，房间略小，其它都不错，早餐人比较多，可能是国庆的缘故
5,离地铁外套都很近，出游还是不错的选择
4.3,浦东大道在修路所以出行不是很方便 晚上可以看到陆家嘴夜景 住33楼还是不错的 唯一不足的是洗浴用品是酒店自己的
4.3,从酒店??就能看到黄浦江，不过最近附近在修路，交通很方便，地铁??4号线黄埔大道出口就是。
5,就在地铁旁边，出行很方便，楼层很高，服务不错
5,酒店环境很好，靠地铁4号线很近，出门方便。前台免费升级成裕景房，景观很好，浴缸大蛮好，宝贝在里面开心地玩耍
4.8,不错的酒店，性价比还可以，房间和卫生间都挺大。
5,位置很好，就在地铁站旁边。虽然现在周边都在施工，但是房间很安静。裕景房的方形大浴缸很给力，看着舒坦，虽然不会使用，但是显得很上档次，早餐很丰富，中西料理、日式料理很丰富。下次去还会订这里
5,地理位置优越，地铁口对面就是。最赞的是房间硬件设施很棒，无愧五星酒店称号。住的裕景房，有四方型超大浴缸，两面窗均能观赏黄浦江夜景。床品也很舒服，让人流连不想走。下次来上海，一定还会选择入住裕景大酒店。
5,位置很好，晚上可以看到黄浦江夜景，距离陆家嘴金融中心也很近，楼下就是地铁，各种方便。 附近吃饭的地方也很多，还有不少超市。 无论旅游，商务出差都很理想的酒店。 强烈推荐！
4.3,还是相当不错的酒店，服务态度也很好，就是周边在装修，而且外滩看到的是航道，基本没有风景，早餐很一般，品种不是那么丰富，但是时间到11点才结束，这点很适合爱睡懒觉的朋友哦
4.3,总体还不错的酒店。但是房间里的烟味严重，早餐吧要说什么都有，就是每个种类让你都觉得很单薄，沙拉就是一堆菜叶。。。水果就是西瓜块和葡萄。看得出使劲在节约成本。 另外，吃早餐的时候一个像小头目的人使劲在说一个刚来的服务员，你这车放在这怎么能行？怎么能往里放东西。。。吧啦吧啦吧啦。。。
3,"在携程上预定了一间高级房和豪华房，豪华房房费是预付的。结果下午五点到前台check in，被告知预付的豪华房暂时没有房间，说要再等40分钟。正常两点后可以入住但我五点到了还是没房。先把高级房开了进去等，将近一个小时也没人通知另外一间是否好了，还是自己打电话到前台问。这里特别不能容忍的是2016年1月1日五点半到六点期间当班前台zhou,电话里问他房卡怎么取，直接冰冷一句，你自己下来拿。Ok,从36楼下来到前台，说是来取房卡的，该最贴心的服务终于体现出来：那个Zhou前台直接看都不看你把房卡摔在台面！一句话都没有。请问贵酒店老子付钱的时候是不是也该直接把钞票摔你面前？五星饭店就这样？"
4,原本裕景是作为上海市内度假的首选，我们基本上是每年都会来住个1、2次，之前几次都很好，但这次感觉就。。。。可能是酒店已经开业近10年，设施老旧，房间地面大理石啃啃哇哇，墙面墙纸起泡发霉，洗漱用品虽然我们会自备，但酒店准备的洗漱用品有点。。。早餐食物品种相比以前也少了很多，食物品质也有下降，唯一可以算的上水平没下降的，就只有泳池了。
4,通过携程预订的价格是挺优惠的，毕竟是在上海又是五星的，这个价格真心不错。附近在修地铁，所以路上有点乱。附近有超市，很方便。房间不大有点局促，尤其是前几天刚在别地的酒店住过一对比就发现了，亏这还是豪华房。只送了单早，灰常丰盛，餐厅的服务也很棒。
4,4号地铁站就在马路对面，出行很方便，酒店大堂办理入住手续太慢，可能现在暑假，早餐人狂多，找个位子都难，早餐种类也不是很多，房间大浴缸很赞，床也比较舒服，洗浴用品一般，连一次性的剃须刀都没有，不像是4星级的待遇
5,设施不错 风景不错 美景配美人
5,酒店环境OK，服务OK，视觉效果OK
5,非常好的漂店！设施也很好！悔价比很高！周边很方便，离东方明珠非常近！前台丽丽服务很高！总之，值得推荐！
5,不管别人怎么评论 我觉得在浦东这样的价格 住的酒店很舒服了 浴缸超级大
4.3,位置很棒，地铁4号线1号口出口，楼下就有便利店，周边吃饭方便。服务还行，设施有点旧，但是用起来还好。健身房游泳池早餐没体验。
5,很棒。很方便。早餐很好。下次继续。
4,很早就看到这家酒店，因为有游泳池，带孩子住几天，酒店本身还不错，可是各种服务真心不敢恭维，号称五星，前台check in奇慢无比，爱理不理，冷冰冰，似乎发生了极不愉快的事，房间里说明有儿童拖鞋，可是向客房服务要，说没有，说明天有的话送过来，结果连住三晚，连个回复也没有，打电话过去，冷冷回答：没有。游泳池更是不敢恭维，水浑浊得感觉很久没换了，我老公孩子吓得不敢游。总之：酒店给人的感觉就是冷冰冰
4.5,出行很方便，地浦东大道站出来就是，房间电视很老，大床房有点小。门房服务不好，我带宝宝都没人帮忙提下行李，早餐170/位不是很实惠。中餐厅东西还不错
4,酒店外围在装修车很难开进大门口，对于有大件行李的客人不是太方便，酒店服务很不热情前台全程没有任何表情，叫人帮忙拿行李去房间全程大声说电话很没礼貌，早餐一般种类少而且都冷了，下次不会考虑再入住了。
4.8,位置非常好 就在96广场的附近. 大连路隧道出来往后一点就到了. 虽然浦东大道在修 完全不影响. 到了前台比较晚. 给了38楼的房间. 一看那么高楼层就很高兴. 前台小伙也没跟我说. 走进房间一看吓到了. 原来是套房. 升级了都不知道. 浴缸有1米5乘1米5. 厅也很大. 可以看到黄浦江. 38楼是酒廊的楼层. 稍微有点声音 还ok. 套房的环境就不说了. 面积只能说是大大大! 房间没有咖啡机. 这点比较弱...
4.8,酒店设施不错，但门口地铁施工，开车不是很方便，另外下午2点入住，房间还没有打扫完，等了很久才拿到房卡，打乱了我们的休息计划，没来得及休息立即赶往机场接人，有点遗憾
